Project;Risk;Stakeholder;idx
Experiential learning project;None;Students| companies| supervisors;518
Wind turbine deployment;None;Residents;519
NPD project portfolio;Sustainability;None;520
Sustainable tunnel development (5 words);Heavy impact on environment (4 words);Tunnel practitioners in Netherlands (4 words);521
Forestry CDM projects in rural areas;Environmental degradation;Local residents| farmers| environmental groups;522
East Side Coastal Resiliency;Uncertainty;Local residents;523
Land use planning;Development;Regional planners;524
Water resource management;Multiple and significant| including financial and non-financial risks.;Community affected by the water projects| as well as decision-makers and environmental experts involved in the analysis.;525
Construction projects in Romania (4 words);Technical difficulties (3 words);Construction team members (4 words);526
PX plant construction;Environmental impact;Public| government agencies;527
None;Environmental degradation;Local communities and government agencies;528
Offshore wind farm;None;Community;529
Reconstruction;Transportation;Local community;530
Solar power project site selection in Pakistan;Suitable sites identified;Government| energy planners| and policymakers;531
JFG;none;suppliers;532
Large-scale water diversion project;Opportunistic behavior (contractors);Contractors and project owner;533
Urban rail transit (URT);Operation risk (OR);Public| government| private companies;534
STEM project;N/A;Students;535
Goal;Increased;Pressure;536
Power plant project;Air pollution;Public;537
Management projects;Biodiversity loss;Conservation agency;538
Irrigation Investments (42%);Construction Pressure (0.2%);Environmental Health (8.8%);539
Great Koala Count (GKC);None;Participants;540
Remediation;Contamination;Local community| government agencies;541
Hydropower construction;Environmental damage;Community members| policymakers;542
PPP project;Financial risks;Private sector;543
Community-driven environmental research program.;Environmental pollutants exposure during data collection.;Local residents| urban youth| environmental advocacy groups.;544
Local-level initiatives;Coastal degradation;Community participation;600
construction project;risks (as requested);None;601
Stream restoration program;Environmental degradation;Community;602
WTE incineration project;Construction cost overruns;Public sector| private investors;603
Climate change impact study;Food security threats from climate change;Local communities| farmers| indigenous peoples;604
Large dam project implementation.;Hydroelectric power plant construction risks.;Local communities affected by damming.;605
Construction project;Cost overruns;Contractor;606
Pilot projects (trialing potential solutions);Implementation (difficulty implementing pilot projects);Fishing industry (leaders and participants involved in the projects);607
River restoration;Lack of power (definitive stakeholders);Local residents;608
ERP system implementation project;High failure rate due to complexity and scope.;Organizational leadership and IT team.;609
Greenfield natural resource project;Insufficient data for accurate measurement;Policy analysts and environmental advocacy groups;610
Hydropower projects;Impact;Environmental disruption;612
PPP;Construction;Engineers;613
Water resource management;Environmental damage;Local communities;614
Dredging project;Conflict;Community;615
Coastal project;Environmental degradation;Local communities;616
Yes;None;Organizations;617
Land reclamation project;Environmental degradation;Local communities and government agencies involved in the reclamation process;618
water supply project (4 words);inconsistent usage (4 words);implementers (4 words);619
Hydropower projects in Southeast Asia;Investment;Chinese enterprises;620
Sabine-to-Galveston Coastal Storm Risk Management (CSRM) Project;Damage from storm events;US Army Corps of Engineers Galveston District (SWG)| local communities along the Texas coast;621
megaprojects in KSA;construction delays;developers & contractors;622
Construction;High;Nuclear Power Plant;623
Building construction in Egypt.;Construction-related pollution hazards.;Environmental regulatory agencies| local residents| construction workers.;624
Solar Home Systems (SHS) project;Financial sustainability| complexity| failure;Small NGOs| potential consumers| private sector service providers| project managers;625
$1 billion redev project;Contamination delays project timeline;Developers| financiers| regulators;626
Transdisciplinary variant of PjBL for engineering students;Resource-intensive nature of PjBL;Multidisciplinary complex engineering problem;627
Large-scale infrastructure project;Environmental damage;Local community;629
Water reclamation and reuse project;None;Wastewater utility;630
Construction;Safety;Management;631
San Francisco Estuary Project;Environmental management plan;Local policy leaders;632
Mineral exploration;Environmental impact;Communities| government agencies;634
Development of eco-industrial parks;Waste management issues;Public authorities| waste management companies| environmental scientists;635
