beg;des;val
Road construction;Construction companies;1
Road construction;government agencies;1
Road construction;cost overruns;1
cost overruns;Road construction;1
cost overruns;government agencies;0.285714286
Construction companies;cost overruns;0.666666667
Road construction;cost overruns;1
Delay;cost overruns;0.4
government agencies;Road construction;0.666666667
government agencies;cost overruns;0.666666667
government agencies;cost overruns;1
government agencies;cost overruns;1
cost overruns;government agencies;1
cost overruns;government agencies;1
cost overruns;government agencies;0.666666667
Road construction;cost overruns;1
Delay;cost overruns;1
Road construction;cost overruns;1
government agencies;Road construction;1
government agencies;Delay;1
government agencies;Road construction;1
government agencies;cost overruns;1
government agencies;cost overruns;1
government agencies;cost overruns;1
cost overruns;government agencies;1
cost overruns;government agencies;1
cost overruns;government agencies;1
Road construction;cost overruns;1
government agencies;Delay;1
government agencies;Road construction;1
government agencies;Construction companies;1
government agencies;cost overruns;1
cost overruns;government agencies;1
Road construction;instability in the industry;1
instability in the industry;Road construction;1
instability in the industry;Construction companies;1
Construction companies;instability in the industry;0.666666667
Road construction;instability in the industry;1
instability in the industry;Road construction;1
Construction companies;Road construction;0.666666667
Road construction;Construction companies;1
Road construction;instability in the industry;1
instability in the industry;Road construction;1
Delay;instability in the industry;0.4
instability in the industry;Delay;1
Delay;instability in the industry;0.4
instability in the industry;Delay;1
Construction companies;Delay;0.666666667
Delay;Construction companies;1
Delay;instability in the industry;1
instability in the industry;Delay;1
Road construction;Delay;1
Delay;Road construction;0.4
instability in the industry;Road construction;1
Road construction;instability in the industry;1
Road construction;Delay;1
Delay;Road construction;1
Road construction;Delay;1
Delay;Road construction;0.4
instability in the industry;Road construction;1
Construction companies;Road construction;0.666666667
Road construction;instability in the industry;1
Road construction;Delay;1
Road construction;Delay;1
Delay;Road construction;1
Delay;Road construction;1
instability in the industry;Road construction;1
Road construction;Construction companies;1
Road construction;instability in the industry;1
Road construction;Delay;1
Delay;Road construction;1
cost overruns;instability in the industry;0.285714286
instability in the industry;cost overruns;1
cost overruns;Delay;0.285714286
Delay;cost overruns;0.4
instability in the industry;cost overruns;1
cost overruns;instability in the industry;0.666666667
cost overruns;Delay;1
Delay;cost overruns;1
cost overruns;instability in the industry;0.285714286
instability in the industry;cost overruns;1
Construction companies;cost overruns;0.666666667
cost overruns;Construction companies;1
cost overruns;instability in the industry;1
instability in the industry;cost overruns;1
cost overruns;Delay;0.285714286
Delay;cost overruns;0.4
instability in the industry;cost overruns;1
Construction companies;cost overruns;0.666666667
cost overruns;instability in the industry;0.666666667
cost overruns;Delay;1
cost overruns;Delay;1
Delay;cost overruns;1
Delay;cost overruns;1
instability in the industry;cost overruns;1
cost overruns;Construction companies;1
cost overruns;instability in the industry;1
cost overruns;Delay;1
Delay;cost overruns;1
cost overruns;Road construction;0.285714286
Road construction;cost overruns;1
instability in the industry;cost overruns;1
cost overruns;instability in the industry;1
cost overruns;Road construction;1
Road construction;cost overruns;1
cost overruns;Road construction;0.285714286
Road construction;cost overruns;1
instability in the industry;cost overruns;1
Construction companies;cost overruns;0.666666667
cost overruns;instability in the industry;1
cost overruns;Road construction;1
cost overruns;Road construction;1
Road construction;cost overruns;1
Road construction;cost overruns;1
instability in the industry;cost overruns;1
cost overruns;Construction companies;1
cost overruns;instability in the industry;1
cost overruns;Road construction;1
Road construction;cost overruns;1
cost overruns;Road construction;0.285714286
Delay;cost overruns;0.4
Road construction;cost overruns;1
instability in the industry;cost overruns;1
cost overruns;Road construction;0.666666667
cost overruns;Delay;1
cost overruns;Road construction;1
Road construction;cost overruns;1
Delay;cost overruns;1
Road construction;cost overruns;1
cost overruns;instability in the industry;1
cost overruns;Road construction;1
cost overruns;Delay;1
Road construction;cost overruns;1
instability in the industry;cost overruns;1
cost overruns;Road construction;0.285714286
Construction companies;cost overruns;0.666666667
Road construction;cost overruns;1
Delay;cost overruns;0.4
cost overruns;Road construction;1
instability in the industry;cost overruns;1
